Pubchem ID	Drug name	depMapID	Cell line name	TCGA type	Predicted IC50
387447	Bortezomib	ACH-000973	639-V	BLCA	-7.3445888
387447	Bortezomib	ACH-000219	A-375	SKCM	-7.326142
387447	Bortezomib	ACH-000389	H4	LGG	-7.2974277
387447	Bortezomib	ACH-000778	HSC-3	HNSC	-7.286161
387447	Bortezomib	ACH-000149	SK-N-SH	NB	-7.2538457
387447	Bortezomib	ACH-000824	KYSE-510	ESCA	-7.2015224
387447	Bortezomib	ACH-000660	SU-DHL-5	DLBC	-7.1921086
387447	Bortezomib	ACH-000847	HGC-27	STAD	-7.186476
387447	Bortezomib	ACH-000545	VM-CUB1	BLCA	-7.146131
387447	Bortezomib	ACH-000918	MOLT-16	ALL	-7.1460366
387447	Bortezomib	ACH-000518	CAL-33	HNSC	-7.13176
387447	Bortezomib	ACH-000947	OVK18	OV	-7.120456
387447	Bortezomib	ACH-000856	CAL-51	BRCA	-7.1116223
387447	Bortezomib	ACH-000488	TE-11	ESCA	-7.0852027
387447	Bortezomib	ACH-000667	HCC-44	LUAD	-7.0421453
387447	Bortezomib	ACH-000570	YKG1	GBM	-6.99421
387447	Bortezomib	ACH-000802	BFTC-905	BLCA	-6.9780793
387447	Bortezomib	ACH-000048	TOV-112D	OV	-6.9638314
387447	Bortezomib	ACH-000396	J82	BLCA	-6.93477
387447	Bortezomib	ACH-000120	CHP-212	NB	-6.919231
387447	Bortezomib	ACH-000681	A549	LUAD	-6.8948703
387447	Bortezomib	ACH-000649	786-O	KIRC	-6.891783
387447	Bortezomib	ACH-000376	SF-295	GBM	-6.86441
387447	Bortezomib	ACH-000561	NA	ESCA	-6.846661
387447	Bortezomib	ACH-000361	SK-HEP-1	LIHC	-6.8197722
387447	Bortezomib	ACH-000716	TT2609-C02	THCA	-6.816645
387447	Bortezomib	ACH-000880	AGS	STAD	-6.781196
387447	Bortezomib	ACH-000311	NCI-H2122	LUAD	-6.780723
387447	Bortezomib	ACH-000886	NCI-H2009	LUAD	-6.765939
387447	Bortezomib	ACH-000827	WM-793	SKCM	-6.7566476
387447	Bortezomib	ACH-000544	OE21	ESCA	-6.7525096
387447	Bortezomib	ACH-000835	GCT	SARC	-6.736055
387447	Bortezomib	ACH-000566	SW-1710	BLCA	-6.727464
387447	Bortezomib	ACH-000788	A2058	SKCM	-6.6834416
387447	Bortezomib	ACH-000546	HSC-4	HNSC	-6.6715903
387447	Bortezomib	ACH-000749	DMS 273	SCLC	-6.6710563
387447	Bortezomib	ACH-000019	MCF7	BRCA	-6.6678042
387447	Bortezomib	ACH-000896	647-V	BLCA	-6.662687
387447	Bortezomib	ACH-000558	A172	GBM	-6.6605344
387447	Bortezomib	ACH-000792	BFTC-909	KIRC	-6.6570296
387447	Bortezomib	ACH-000473	RT-112	BLCA	-6.6520286
387447	Bortezomib	ACH-000469	YH-13	GBM	-6.6370187
387447	Bortezomib	ACH-001307	8505C	THCA	-6.6326566
387447	Bortezomib	ACH-000450	MEL-HO	SKCM	-6.6221976
387447	Bortezomib	ACH-000142	CAL-29	BLCA	-6.6217456
387447	Bortezomib	ACH-000138	CFPAC-1	PAAD	-6.6158795
387447	Bortezomib	ACH-000271	SU-DHL-10	DLBC	-6.6121783
387447	Bortezomib	ACH-000670	SBC-5	SCLC	-6.6093736
387447	Bortezomib	ACH-000023	PA-TU-8988T	PAAD	-6.606108
387447	Bortezomib	ACH-000521	NCI-H2030	LUAD	-6.5943246
387447	Bortezomib	ACH-000905	5637	BLCA	-6.5798144
387447	Bortezomib	ACH-000881	MEL-JUSO	SKCM	-6.579142
387447	Bortezomib	ACH-000228	BICR 31	HNSC	-6.574701
387447	Bortezomib	ACH-000805	COLO-679	SKCM	-6.5659957
387447	Bortezomib	ACH-000624	HCC1806	BRCA	-6.5615735
387447	Bortezomib	ACH-000472	HSC-2	HNSC	-6.5582786
387447	Bortezomib	ACH-000693	KYSE-180	ESCA	-6.5418096
387447	Bortezomib	ACH-000098	GAMG	LGG	-6.5414577
387447	Bortezomib	ACH-000410	Saos-2	SARC	-6.531013
387447	Bortezomib	ACH-000456	B-CPAP	THCA	-6.5255084
387447	Bortezomib	ACH-000696	OVCAR-8	OV	-6.5224166
387447	Bortezomib	ACH-000411	769-P	KIRC	-6.5172267
387447	Bortezomib	ACH-000357	JeKo-1	DLBC	-6.5120864
387447	Bortezomib	ACH-000663	OVTOKO	OV	-6.5015903
387447	Bortezomib	ACH-000132	JHOS-2	OV	-6.495546
387447	Bortezomib	ACH-000665	SK-MES-1	LUSC	-6.489884
387447	Bortezomib	ACH-000572	G-361	SKCM	-6.4793954
387447	Bortezomib	ACH-000858	KNS-62	LUSC	-6.47887
387447	Bortezomib	ACH-000309	SK-LU-1	LUAD	-6.477121
387447	Bortezomib	ACH-000135	Hs 940.T	SKCM	-6.4717097
387447	Bortezomib	ACH-000832	CAL 27	HNSC	-6.458694
387447	Bortezomib	ACH-000174	CAL-62	THCA	-6.453054
387447	Bortezomib	ACH-000957	LS 180	COAD/READ	-6.4429955
387447	Bortezomib	ACH-000291	OV-90	OV	-6.4302545
387447	Bortezomib	ACH-000232	U-251 MG	GBM	-6.4030013
387447	Bortezomib	ACH-000846	FaDu	HNSC	-6.397923
387447	Bortezomib	ACH-000650	IGR-37	SKCM	-6.386521
387447	Bortezomib	ACH-000730	SK-MEL-5	SKCM	-6.383487
387447	Bortezomib	ACH-000400	SK-CO-1	COAD/READ	-6.3804383
387447	Bortezomib	ACH-000657	A2780	UNABLE TO CLASSIFY	-6.3799033
387447	Bortezomib	ACH-000091	OV56	OV	-6.367121
387447	Bortezomib	ACH-000613	HOS	SARC	-6.3535466
387447	Bortezomib	ACH-000050	NCI-H929	MM	-6.3462863
387447	Bortezomib	ACH-000548	BHY	HNSC	-6.3324885
387447	Bortezomib	ACH-000483	SNU-182	LIHC	-6.331207
387447	Bortezomib	ACH-000971	HCT 116	COAD/READ	-6.329412
387447	Bortezomib	ACH-000920	CML-T1	LCML	-6.325745
387447	Bortezomib	ACH-000505	RKN	SARC	-6.311835
387447	Bortezomib	ACH-000625	Hep 3B2.1-7	LIHC	-6.293929
387447	Bortezomib	ACH-000627	LCLC-103H	NA	-6.289933
387447	Bortezomib	ACH-000348	RPMI-7951	SKCM	-6.2815056
387447	Bortezomib	ACH-000484	VMRC-RCW	KIRC	-6.2775846
387447	Bortezomib	ACH-000922	RCH-ACV	ALL	-6.2749863
387447	Bortezomib	ACH-000950	LoVo	COAD/READ	-6.2711287
387447	Bortezomib	ACH-000329	CCF-STTG1	GBM	-6.270156
387447	Bortezomib	ACH-000958	SW48	COAD/READ	-6.2639494
387447	Bortezomib	ACH-000563	EBC-1	LUSC	-6.246112
387447	Bortezomib	ACH-000155	SW 1990	PAAD	-6.2446833
387447	Bortezomib	ACH-000052	A-673	SARC	-6.2432995
387447	Bortezomib	ACH-000463	NCI-H460	NA	-6.2405214
387447	Bortezomib	ACH-000869	NCI-H1568	LUAD	-6.2244725
387447	Bortezomib	ACH-000046	ACHN	KIRC	-6.221956
387447	Bortezomib	ACH-000447	NCI-H2228	LUAD	-6.219185
387447	Bortezomib	ACH-000356	MKN-45	STAD	-6.2153616
387447	Bortezomib	ACH-000351	MKN1	STAD	-6.2051034
387447	Bortezomib	ACH-000343	NCI-H522	LUAD	-6.2016106
387447	Bortezomib	ACH-000416	NCI-H838	LUAD	-6.1997986
387447	Bortezomib	ACH-000855	KYSE-150	ESCA	-6.1960707
387447	Bortezomib	ACH-000679	OE19	ESCA	-6.1892943
387447	Bortezomib	ACH-000493	SNU-423	LIHC	-6.189065
387447	Bortezomib	ACH-000784	KYSE-70	ESCA	-6.1823
387447	Bortezomib	ACH-000672	IA-LM	NA	-6.1789155
387447	Bortezomib	ACH-000841	NCI-H2087	LUAD	-6.175537
387447	Bortezomib	ACH-000936	EFO-27	OV	-6.174726
387447	Bortezomib	ACH-000989	SNU-175	COAD/READ	-6.1735563
387447	Bortezomib	ACH-000171	VMRC-RCZ	KIRC	-6.1722302
387447	Bortezomib	ACH-000067	Hs 683	LGG	-6.17076
387447	Bortezomib	ACH-000359	MG-63	SARC	-6.1627083
387447	Bortezomib	ACH-000911	NUGC-3	STAD	-6.1625147
387447	Bortezomib	ACH-000221	SNU-398	LIHC	-6.151923
387447	Bortezomib	ACH-000589	NCI-H1437	LUAD	-6.1414776
387447	Bortezomib	ACH-000372	P12-ICHIKAWA	ALL	-6.1298423
387447	Bortezomib	ACH-000810	SK-MEL-30	SKCM	-6.1297684
387447	Bortezomib	ACH-000522	UM-UC-3	BLCA	-6.1293635
387447	Bortezomib	ACH-000878	HCC-15	LUSC	-6.121283
387447	Bortezomib	ACH-000364	U-2 OS	SARC	-6.113563
387447	Bortezomib	ACH-000882	IGR-1	SKCM	-6.1116595
387447	Bortezomib	ACH-000689	RH-18	SARC	-6.1017075
387447	Bortezomib	ACH-000058	ML-1	THCA	-6.099323
387447	Bortezomib	ACH-000248	AU565	BRCA	-6.098672
387447	Bortezomib	ACH-000054	HT-1080	SARC	-6.08474
387447	Bortezomib	ACH-000811	SK-OV-3	OV	-6.0786986
387447	Bortezomib	ACH-000560	ECC10	STAD	-6.0703063
387447	Bortezomib	ACH-000867	ChaGo-K-1	UNABLE TO CLASSIFY	-6.069516
387447	Bortezomib	ACH-000096	G-401	SARC	-6.06617
387447	Bortezomib	ACH-000207	Detroit 562	HNSC	-6.0624638
387447	Bortezomib	ACH-000434	NCI-H1915	NA	-6.0575895
387447	Bortezomib	ACH-000375	G-402	SARC	-6.0556293
387447	Bortezomib	ACH-000825	HOP-92	NA	-6.0543027
387447	Bortezomib	ACH-000139	Panc 03.27	PAAD	-6.052216
387447	Bortezomib	ACH-000917	TE-4	ESCA	-6.049505
387447	Bortezomib	ACH-000720	TCCSUP	BLCA	-6.0284114
387447	Bortezomib	ACH-000924	NCI-H2172	UNABLE TO CLASSIFY	-6.0183787
387447	Bortezomib	ACH-000595	LN-229	GBM	-6.0054564
387447	Bortezomib	ACH-000323	42-MG-BA	GBM	-5.9786096
387447	Bortezomib	ACH-000879	MFE-296	UCEC	-5.9731755
387447	Bortezomib	ACH-001306	8305C	THCA	-5.9728374
387447	Bortezomib	ACH-000414	NCI-H1944	LUAD	-5.970169
387447	Bortezomib	ACH-000763	MM1-S	MM	-5.9663143
387447	Bortezomib	ACH-000913	ESS-1	UCEC	-5.962356
387447	Bortezomib	ACH-000966	IGROV1	OV	-5.956001
387447	Bortezomib	ACH-000535	BxPC-3	PAAD	-5.9477506
387447	Bortezomib	ACH-000082	"G-292, clone A141B1"	SARC	-5.939432
387447	Bortezomib	ACH-000596	LCLC-97TM1	NA	-5.935653
387447	Bortezomib	ACH-000651	SW620	COAD/READ	-5.9322257
387447	Bortezomib	ACH-000247	OCUM-1	STAD	-5.931388
387447	Bortezomib	ACH-000978	EN	UCEC	-5.9181585
387447	Bortezomib	ACH-000129	NCI-H1341	SCLC	-5.915838
387447	Bortezomib	ACH-000793	KATO III	STAD	-5.9085083
387447	Bortezomib	ACH-000001	NIH:OVCAR-3	OV	-5.905397
387447	Bortezomib	ACH-000169	RD	SARC	-5.903298
387447	Bortezomib	ACH-000201	A-204	SARC	-5.8974504
387447	Bortezomib	ACH-000427	NCI-N87	STAD	-5.897413
387447	Bortezomib	ACH-000893	NCI-H1651	LUAD	-5.8969026
387447	Bortezomib	ACH-001075	NCI-H292	NA	-5.8945637
387447	Bortezomib	ACH-000951	NCI-H2342	LUAD	-5.874187
387447	Bortezomib	ACH-000481	NCI-H2170	LUSC	-5.863828
387447	Bortezomib	ACH-000380	KMS-12-BM	MM	-5.855119
387447	Bortezomib	ACH-000210	CADO-ES1	SARC	-5.854764
387447	Bortezomib	ACH-000915	IPC-298	SKCM	-5.85336
387447	Bortezomib	ACH-000955	SNU-407	COAD/READ	-5.8222423
387447	Bortezomib	ACH-000677	SW 1573	LUAD	-5.820303
387447	Bortezomib	ACH-000857	CAL-85-1	BRCA	-5.8124084
387447	Bortezomib	ACH-000421	SW837	COAD/READ	-5.8110843
387447	Bortezomib	ACH-000062	RERF-LC-MS	LUAD	-5.8089414
387447	Bortezomib	ACH-000429	A-704	KIRC	-5.805857
387447	Bortezomib	ACH-000528	ABC-1	LUAD	-5.803704
387447	Bortezomib	ACH-000060	Panc 10.05	PAAD	-5.7926517
387447	Bortezomib	ACH-000187	COR-L311	SCLC	-5.7917123
387447	Bortezomib	ACH-000823	KYSE-140	ESCA	-5.7914953
387447	Bortezomib	ACH-000186	NCI-H2444	UNABLE TO CLASSIFY	-5.790732
387447	Bortezomib	ACH-000662	COR-L23	NA	-5.790486
